## software,url,descrip,
AIPS ,http://www.cv.nrao.edu/aips/ ,NRAO AIPS Page ,
FITS ,http://www.gsfc.nasa.gov/astro/fits/basics_info.html ,FITS Basic Information ,
IRAF ,http://iraf.noao.edu/faq/FAQ.html ,IRAF FAQ ,
ISPELL ,http://www.star.ucl.ac.uk:80/~mjc/ispell/ ,ISPELL Support Page ,
MAPLE ,http://www.maplesoft.com/ ,MAPLE Support Page ,
MIDAS ,http://http.hq.eso.org/midas-info/midas.html ,MIDAS Support Page ,
STARMAN ,http://ast.star.rl.ac.uk/dev/starman/intro.html ,STARMAN Support Page ,
TCL ,http://www.itd.clrc.ac.uk/Publications/Cookbook/index.html ,TCL Cookbook ,
TK ,http://www.cis.rl.ac.uk/proj/TclTk/ ,TK Cookbook ,
XANADU ,http://heasarc.gsfc.nasa.gov/docs/xanadu/xanadu.html ,XANADU Support Page ,
EXTRACTOR ,http://sextractor.sourceforge.net/,EXTRACTOR Support Page ,
TREEVIEW,http://www.starlink.ac.uk/treeview/,TREEVIEW Support Page,
SPLAT,http://www.starlink.ac.uk/splat/,SPLAT Support Page,
GAIA ,http://www.starlink.ac.uk/gaia/,GAIA Support Page ,
ASTERIX ,http://www.starlink.ac.uk/asterix/,ASTERIX Support Page ,
CCDPACK ,http://www.starlink.ac.uk/ccdpack/,CCDPACK Support Page ,
CURSA ,http://www.starlink.ac.uk/cursa/,CURSA Support Page ,
DAOPHOT ,http://www.starlink.ac.uk/daophot,DAOPHOT Support Page ,
DIPSO ,http://www.starlink.ac.uk/dipso,DIPSO Support Page ,
ECHOMOP ,http://www.starlink.ac.uk/echomop,ECHOMOP Support Page ,
IMG ,http://www.starlink.ac.uk/img/,IMG Support Page ,
ESP ,http://www.starlink.ac.uk/esp,ESP Support Page ,
FIGARO ,http://www.starlink.ac.uk/figaro/,FIGARO Support Page ,
PHOTOM ,http://www.starlink.ac.uk/photom/,PHOTOM Support Page ,
PONGO ,http://www.starlink.ac.uk/pongo/,PONGO Support Page ,
IRAF ,http://www.starlink.ac.uk/~ajc/iraf.html,IRAF Support Page ,
KAPPA ,http://www.starlink.ac.uk/kappa/,KAPPA Support Page ,
DATACUBE ,http://www.starlink.ac.uk/datacube/,DATACUBE Support Page ,
PERIOD ,http://www.starlink.ac.uk/support/period.html,PERIOD Support Page ,
PISA ,http://www.starlink.ac.uk/pisa/,PISA Support Page ,
SAOIMAGE ,http://www.starlink.ac.uk/support/saoimage.html,SAOIMAGE Support Page ,
TWODSPEC ,http://www.starlink.ac.uk/twodspec/,TWODSPEC Support Page ,
AIPS ,http://www.starlink.ac.uk/~ajc/support/aips/aips.html,AIPS Support Page ,
POLPACK ,http://www.starlink.ac.uk/polpack,POLPACK Support Page ,
IUEDR ,http://www.starlink.ac.uk/iuedr/,IUEDR Support Page ,
TEX ,http://www.starlink.ac.uk/~acc/tex/tex.html,TEX/LATEX Support Page ,
SOG,http://www.starlink.ac.uk/sog/,SOG Support Page,
FROG,http://www.starlink.ac.uk/frog/,FROG Support Page,
TOPCAT,http://www.starlink.ac.uk/topcat/,TOPCAT Support Page,
JNIHDS,http://www.starlink.ac.uk/jnihds/,JNIHDS Support Page,
JNIAST,http://www.starlink.ac.uk/jniast/,JNIAST  Support Page,
HDX,http://www.starlink.ac.uk/HDX/,HDX Support Page,
AST,http://www.starlink.ac.uk/ast/,AST Support Page,
